
==== DEVELOPMENT  Scenario A ====
-- marl_static
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   91     35.4  0.2564   1.00   3.00    198.5   5.08     2599
   92     48.8  0.2266   3.00   1.00    242.1   5.36      249
   93     36.2  0.2927   1.00   3.00    227.0   6.01        0
   94     13.6  0.7602   1.00   1.00    238.1   5.43    36657
   95     40.1  0.2465   2.00   2.00    215.0   5.41        2
   96     48.7  0.2191   2.00   1.00    226.5   5.40       10
   97     22.3  0.4328   3.00   1.00    223.4   4.90    67227
   98     40.0  0.2688   1.00   3.00    233.5   5.96       59
   99     39.2  0.2656   2.00   1.00    229.2   6.30     5357
-- sdn
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   80     49.3  0.1964   1.00   3.00    205.8   5.71     3089
   81     35.5  0.2492   4.00   0.00    187.0  27.51     1727
   82     49.9  0.1826   1.00   3.00    192.7   5.39     2260
   83     22.5  0.3968   2.00   2.00    190.4   5.15     1461
   84     47.6  0.1904   1.00   1.00    192.1   4.74     2030
   85     43.9  0.2052   3.00   1.00    191.8   4.81     3245
   86     34.9  0.2608   1.00   1.00    194.2   5.61     2002
   87      0.0  4.7941   3.00   0.00    184.2    nan   108212
   88     44.4  0.2140   2.00   2.00    202.5   5.50     2344
   89     29.0  0.3092   2.00   1.00    191.0   4.73     1484
   90     38.6  0.2536   1.00   1.00    211.3   6.17     5844
